,Date,Province,Unnamed: 0,count,mosquito,date,Dengue
236,2015-09-01,camiguin,8,26.0,52.00346153846154,2015-09-01,48.59965189086552
237,2015-10-01,camiguin,9,18.0,52.145,2015-10-01,105.11087501977893
238,2015-11-01,camiguin,10,16.0,59.668125,2015-11-01,92.67840593141798
239,2015-12-01,camiguin,11,12.0,63.42916666666665,2015-12-01,79.11571238047877
240,2015-01-01,capiz,0,,37.5936,2015-01-01,7.4863669317978845
241,2015-02-01,capiz,1,,40.43333333333333,2015-02-01,5.384930600065145
242,2015-03-01,capiz,2,,34.84415584415584,2015-03-01,4.990911287865256
243,2015-04-01,capiz,3,,19.562777777777782,2015-04-01,6.172969224464922
244,2015-05-01,capiz,4,,23.3,2015-05-01,4.990911287865256
245,2015-06-01,capiz,5,,46.30109090909092,2015-06-01,6.829668078131403
246,2015-07-01,capiz,6,,45.80761194029851,2015-07-01,22.19642125392706
247,2015-08-01,capiz,7,,38.981910112359564,2015-08-01,29.81412795645824
248,2015-09-01,capiz,8,5.0,33.4,2015-09-01,33.491641536990535
249,2015-10-01,capiz,9,7.0,23.285714285714285,2015-10-01,33.88566084919042
250,2015-11-01,capiz,10,12.0,44.41583333333333,2015-11-01,25.479915522259464
251,2015-12-01,capiz,11,7.0,52.644285714285715,2015-12-01,17.3368497367951
252,2015-01-01,catanduanes,0,25.0,30.0028,2015-01-01,0.766389233764044
253,2015-02-01,catanduanes,1,31.0,29.51612903225807,2015-02-01,1.9159730844101102
254,2015-03-01,catanduanes,2,15.0,35.86666666666667,2015-03-01,3.448751551938198
255,2015-04-01,catanduanes,3,5.0,16.954,2015-04-01,0.766389233764044
256,2015-05-01,catanduanes,4,3.0,16.580000000000002,2015-05-01,1.9159730844101102
257,2015-06-01,catanduanes,5,4.0,41.1075,2015-06-01,0.766389233764044
258,2015-07-01,catanduanes,6,4.0,52.1,2015-07-01,3.448751551938198
259,2015-08-01,catanduanes,7,17.0,27.707058823529405,2015-08-01,3.448751551938198
260,2015-09-01,catanduanes,8,21.0,28.58619047619048,2015-09-01,2.299167701292132
261,2015-10-01,catanduanes,9,19.0,35.241578947368424,2015-10-01,4.981530019466287
262,2015-11-01,catanduanes,10,22.0,40.77318181818181,2015-11-01,6.131113870112352
263,2015-12-01,catanduanes,11,10.0,45.839,2015-12-01,4.981530019466287
264,2015-01-01,cavite,0,27.0,16.91074074074074,2015-01-01,15.79533594450264
265,2015-02-01,cavite,1,30.0,15.933333333333335,2015-02-01,13.8650969564481
266,2015-03-01,cavite,2,12.0,12.398333333333332,2015-03-01,9.460889687929292
267,2015-04-01,cavite,3,,23.33333333333333,2015-04-01,5.029495954789997
268,2015-05-01,cavite,4,3.0,50.0,2015-05-01,3.6157997945247007
269,2015-06-01,cavite,5,15.0,24.688,2015-06-01,7.231599589049401
270,2015-07-01,cavite,6,66.0,22.59348484848485,2015-07-01,18.921779375858584
271,2015-08-01,cavite,7,69.0,21.49898550724638,2015-08-01,37.21827006544598
272,2015-09-01,cavite,8,76.0,25.570789473684226,2015-09-01,68.3195855912825
273,2015-10-01,cavite,9,47.0,22.281702127659575,2015-10-01,105.13005868742118
274,2015-11-01,cavite,10,42.0,16.93119047619048,2015-11-01,64.56785347365538
275,2015-12-01,cavite,11,29.0,17.21241379310345,2015-12-01,20.389848465364853
276,2015-01-01,cebu,0,21.0,28.396666666666665,2015-01-01,9.930145742158585
277,2015-02-01,cebu,1,40.0,32.05,2015-02-01,6.821578379395897
278,2015-03-01,cebu,2,19.0,26.842105263157894,2015-03-01,6.3466583656404865
279,2015-04-01,cebu,3,2.0,57.5,2015-04-01,3.1085673627626873
280,2015-05-01,cebu,4,3.0,60.66666666666666,2015-05-01,2.4609491621871276
281,2015-06-01,cebu,5,42.0,49.22642857142858,2015-06-01,3.648249196575654
282,2015-07-01,cebu,6,85.0,44.767294117647076,2015-07-01,6.5841183725181915
283,2015-08-01,cebu,7,61.0,45.599508196721324,2015-08-01,14.873631339885359
284,2015-09-01,cebu,8,64.0,40.66125,2015-09-01,27.43742443105122
285,2015-10-01,cebu,9,52.0,41.55826923076923,2015-10-01,47.966921389296466
286,2015-11-01,cebu,10,35.0,42.284857142857135,2015-11-01,42.54851577781428
287,2015-12-01,cebu,11,30.0,46.09166666666667,2015-12-01,24.32885706828853
288,2015-01-01,compostela valley,0,38.0,51.30684210526315,2015-01-01,5.026443166550515
289,2015-02-01,compostela valley,1,40.0,56.225,2015-02-01,8.150988918730565
290,2015-03-01,compostela valley,2,13.0,56.153846153846146,2015-03-01,2.988695936867874
291,2015-04-01,compostela valley,3,2.0,0.0,2015-04-01,2.988695936867874
292,2015-05-01,compostela valley,4,,28.363636363636363,2015-05-01,4.483043905301811
293,2015-06-01,compostela valley,5,21.0,43.84190476190477,2015-06-01,8.28683873404274
294,2015-07-01,compostela valley,6,64.0,67.65468750000001,2015-07-01,19.969922850889883
295,2015-08-01,compostela valley,7,55.0,63.41727272727273,2015-08-01,12.769882639344551
296,2015-09-01,compostela valley,8,60.0,59.81933333333333,2015-09-01,11.954783747471495
297,2015-10-01,compostela valley,9,43.0,54.9425581395349,2015-10-01,3.5320951981165782
298,2015-11-01,compostela valley,10,35.0,54.792,2015-11-01,8.694388179979269
299,2015-12-01,compostela valley,11,32.0,60.8096875,2015-12-01,15.894428391524603
300,2015-01-01,cotabato,0,7.0,25.487142857142853,2015-01-01,9.349540169320896
301,2015-02-01,cotabato,1,10.0,20.5,2015-02-01,13.553209392736495
302,2015-03-01,cotabato,2,1.0,50.0,2015-03-01,18.336695060761137
303,2015-04-01,cotabato,3,,25.2,2015-04-01,14.205502892921674
304,2015-05-01,cotabato,4,,28.363636363636363,2015-05-01,19.568805005555365
305,2015-06-01,cotabato,5,,50.1814814814815,2015-06-01,32.832106175987334
306,2015-07-01,cotabato,6,,56.343393665158366,2015-07-01,35.151371954423524
307,2015-08-01,cotabato,7,5.0,45.918,2015-08-01,23.844951284547093
